ALUMNO ID,GRUPO,PRE-TEST,POST-TEST
1,4.1,0.7,5.3
2,4.1,0.0,0.0
3,4.1,0.0,4.0
4,4.1,0.0,0.0
5,4.1,0.7,3.3
6,4.1,0.0,0.7
7,4.1,0.7,5.3
8,4.1,0.0,1.3
9,4.1,0.0,2.7
10,4.1,0.0,6.7
11,4.1,0.0,4.7
12,4.1,0.0,6.0
13,4.1,0.7,4.0
14,4.1,0.0,0.0
15,4.1,0.0,1.3
16,4.1,0.7,5.3
17,4.1,0.0,0.0
18,4.1,0.0,0.0
19,4.1,0.0,6.7
20,4.1,0.0,6.7
21,4.1,0.0,6.0
22,4.1,0.0,1.3
23,4.1,0.0,4.0
24,4.1,0.0,0.7
25,4.1,0.7,6.7
26,4.1,0.7,0.7
27,4.1,0.0,0.7
28,4.1,0.7,6.7
29,4.1,0.0,0.7
30,4.1,0.0,0.7
31,4.1,0.7,2.0
32,4.1,0.0,6.0
33,4.1,0.0,2.0
34,4.1,0.0,2.0
35,4.1,0.0,0.0
36,4.1,0.0,6.7
37,4.1,0.0,1.3
38,4.1,0.0,4.7
39,4.1,0.0,0.7
40,4.1,0.7,6.0
41,4.1,0.0,0.0
42,4.1,1.3,8.0
43,4.1,0.0,1.3
44,4.1,0.0,8.7
45,4.1,0.7,4.7
46,4.1,0.0,6.7
47,4.1,0.0,2.0
48,4.1,0.7,6.7
49,4.1,0.0,0.7
50,4.1,1.3,8.0
1,4.4,0.7,9.3
2,4.4,0.0,4.0
3,4.4,0.0,9.3
4,4.4,0.0,9.3
5,4.4,0.0,9.3
6,4.4,0.0,8.7
7,4.4,0.0,10.0
8,4.4,0.7,9.3
9,4.4,0.7,10.0
10,4.4,0.0,1.3
11,4.4,0.7,9.3
12,4.4,0.0,10.0
13,4.4,0.0,9.3
14,4.4,0.7,10.0
15,4.4,0.0,2.0
16,4.4,0.7,10.0
17,4.4,0.0,10.0
18,4.4,0.0,9.3
19,4.4,0.0,9.3
20,4.4,0.0,8.7
21,4.4,0.0,10.0
22,4.4,0.0,10.0
23,4.4,0.7,10.0
24,4.4,0.0,9.3
25,4.4,0.0,0.0
26,4.4,0.0,10.0
27,4.4,0.0,9.3
28,4.4,0.0,10.0
29,4.4,0.0,8.7
30,4.4,0.7,10.0
31,4.4,0.0,10.0
32,4.4,0.0,9.3
33,4.4,0.7,10.0
34,4.4,0.0,0.0
35,4.4,0.0,10.0
36,4.4,0.0,10.0
37,4.4,0.0,10.0
38,4.4,1.3,10.0
39,4.4,0.0,8.7
40,4.4,0.7,10.0
41,4.4,0.0,8.7
42,4.4,0.0,8.7
43,4.4,0.0,10.0
44,4.4,0.0,0.0
45,4.4,0.7,9.3
46,4.4,0.0,10.0
47,4.4,0.7,9.3
48,4.4,2.0,10.0